ISO,country,unicef_region,income_group,data_year,wasting_national,wasting_national_ll,wasting_national_ul,wasting_male,wasting_female,wasting_urban,wasting_rural,wasting_Q1_poorest,wasting_Q2,wasting_Q3,wasting_Q4,wasting_Q5_richest,wasting_gender_gap,wasting_wealth_gap,wasting_urban_rural_gap
TON,Tonga,EAP,Upper Middle Income,2019.0,1.1,0.6,1.9,1.2,1.0,1.5,0.9,1.3,1.3,1.0,0.9,0.7,0.19999999999999996,0.6000000000000001,-0.6
TTO,Trinidad and Tobago,LAC,High Income,2011.0,6.4,4.9,8.4,5.7,7.1,4.2,9.4,6.9,5.3,7.5,5.0,6.8,-1.3999999999999995,0.10000000000000053,5.2
TUN,Tunisia,MENA,Lower Middle Income,2018.0,2.1,1.6,2.7,2.1,2.1,2.1,2.1,2.6,1.6,2.3,1.5,2.4,0.0,0.20000000000000018,0.0
TKM,Turkmenistan,EECA,Upper Middle Income,2019.0,4.1,3.3,5.0,4.7,3.5,4.1,4.1,2.8,3.5,5.6,3.7,5.4,1.2000000000000002,-2.6000000000000005,0.0
TCA,Turks and Caicos Islands,LAC,High Income,2020.0,1.2,0.3,4.6,2.6,0.0,1.2,0.0,0.0,2.1,3.6,0.4,0.0,2.6,0.0,-1.2
TUV,Tuvalu,EAP,Upper Middle Income,2019.0,2.8,1.3,5.7,3.2,2.2,3.1,2.1,1.7,2.1,2.0,4.2,3.9,1.0,-2.2,-1.0
TUR,Türkiye,EECA,Upper Middle Income,2018.0,1.7,1.1,2.5,1.7,1.6,1.6,2.0,1.8,0.8,1.9,1.9,2.0,0.09999999999999987,-0.19999999999999996,0.3999999999999999
UGA,Uganda,ESA,Low Income,2022.0,3.2,,,3.8,2.7,,,,,,,,1.0999999999999996,,
UKR,Ukraine,EECA,Upper Middle Income,2000.0,8.2,7.4,9.1,8.5,7.9,8.2,8.2,,,,,,0.5999999999999996,,0.0
GBR,United Kingdom,WE,High Income,2018.0,0.4,,,,,,,,,,,,,,
TZA,United Republic of Tanzania,ESA,Lower Middle Income,2022.0,3.1,2.6,3.7,3.9,2.4,2.9,3.2,3.9,2.8,3.4,2.6,2.8,1.5,1.1,0.30000000000000027
USA,United States,,High Income,2018.0,0.1,0.0,0.5,0.2,0.0,,,,,,,,0.2,,
URY,Uruguay,LAC,High Income,2018.0,1.4,1.0,1.9,1.7,1.1,,,,,,,,0.5999999999999999,,
UZB,Uzbekistan,EECA,Lower Middle Income,2021.0,2.4,2.0,3.0,2.9,1.9,2.3,2.5,3.1,2.3,2.5,2.5,1.6,1.0,1.5,0.20000000000000018
VUT,Vanuatu,EAP,Lower Middle Income,2013.0,4.7,3.7,6.0,5.5,4.0,2.6,5.4,1.8,7.0,5.1,6.2,3.5,1.5,-1.7,2.8000000000000003
VEN,Venezuela (Bolivarian Republic of),LAC,,2009.0,4.1,,,,,,,,,,,,,,
VNM,Viet Nam,EAP,Lower Middle Income,2023.0,4.4,,,,,,,,,,,,,,
YEM,Yemen,MENA,Low Income,2022.0,16.8,15.7,18.1,19.0,14.6,12.1,18.6,26.3,17.0,13.3,12.9,11.6,4.4,14.700000000000001,6.500000000000002
ZMB,Zambia,ESA,Lower Middle Income,2018.0,4.2,3.7,4.9,4.8,3.7,5.0,3.8,4.3,3.9,3.0,4.8,5.6,1.0999999999999996,-1.2999999999999998,-1.2000000000000002
ZWE,Zimbabwe,ESA,Lower Middle Income,2024.0,5.1,,,,,,,,,,,,,,
