ISO,country,unicef_region,income_group,data_year,stunting_national,stunting_national_ll,stunting_national_ul,stunting_male,stunting_female,stunting_urban,stunting_rural,stunting_Q1_poorest,stunting_Q2,stunting_Q3,stunting_Q4,stunting_Q5_richest,stunting_gender_gap,stunting_wealth_gap,stunting_urban_rural_gap
MOZ,Mozambique,ESA,Low Income,2022.0,36.7,34.4,39.1,40.9,32.8,26.3,41.0,47.0,43.0,42.3,25.2,14.8,8.100000000000001,32.2,14.7
MMR,Myanmar,EAP,Lower Middle Income,2018.0,26.7,25.3,28.2,26.7,26.8,20.9,29.0,36.1,29.8,25.7,19.4,15.5,-0.10000000000000142,20.6,8.100000000000001
NAM,Namibia,ESA,Upper Middle Income,2013.0,22.7,20.8,24.8,25.1,20.4,16.0,26.7,30.8,26.8,22.8,15.9,9.0,4.700000000000003,21.8,10.7
NRU,Nauru,EAP,High Income,2023.0,15.7,11.5,21.2,12.1,20.0,,,19.0,15.0,10.6,7.9,28.3,-7.9,-9.3,
NPL,Nepal,SA,Lower Middle Income,2022.0,24.8,22.7,27.0,24.7,25.0,21.5,31.0,36.9,28.4,22.3,17.7,13.1,-0.3000000000000007,23.799999999999997,9.5
NLD,Netherlands (Kingdom of the),WE,High Income,2009.0,1.5,1.2,1.8,1.6,1.3,,,,,,,,0.30000000000000004,,
NIC,Nicaragua,LAC,Lower Middle Income,2012.0,17.3,15.8,18.9,18.2,16.4,12.4,22.0,,,,,,1.8000000000000007,,9.6
NER,Niger,WCA,Low Income,2022.0,47.7,44.9,50.5,50.4,45.0,,,,,,,,5.399999999999999,,
NGA,Nigeria,WCA,Lower Middle Income,2021.0,33.8,,,35.0,32.5,,,,,,,,2.5,,
MKD,North Macedonia,EECA,Upper Middle Income,2019.0,4.3,2.8,6.5,4.5,4.0,4.7,3.7,7.2,3.3,2.3,3.9,3.7,0.5,3.5,-1.0
OMN,Oman,MENA,High Income,2017.0,11.4,9.8,13.1,12.7,10.0,,,12.7,13.0,12.7,11.0,7.8,2.6999999999999993,4.8999999999999995,
PAK,Pakistan,SA,Lower Middle Income,2018.0,37.6,34.8,40.6,38.2,37.1,30.7,40.9,56.5,44.9,31.6,30.4,22.0,1.1000000000000014,34.5,10.2
PAN,Panama,LAC,High Income,2019.0,15.9,14.1,17.8,17.6,13.9,11.5,12.4,,,,,,3.700000000000001,,0.9000000000000004
PNG,Papua New Guinea,EAP,Lower Middle Income,2010.0,49.5,45.8,53.1,50.9,47.9,36.4,51.2,,,,,,3.0,,14.800000000000004
PRY,Paraguay,LAC,Upper Middle Income,2016.0,5.6,4.6,6.8,6.7,4.4,4.0,7.9,12.3,5.3,3.7,2.7,0.8,2.3,11.5,3.9000000000000004
PER,Peru,LAC,Upper Middle Income,2023.0,11.5,11.0,12.2,12.5,10.5,8.2,20.3,22.5,11.5,6.8,4.4,4.5,2.0,18.0,12.100000000000001
PHL,Philippines,EAP,Lower Middle Income,2021.0,26.7,25.3,28.1,27.2,26.1,,,,,,,,1.0999999999999979,,
POL,Poland,WE,High Income,2019.0,1.0,0.6,1.8,1.0,1.1,,,,,,,,-0.10000000000000009,,
PRT,Portugal,WE,High Income,2016.0,3.2,1.7,6.0,3.1,3.5,,,,,,,,-0.3999999999999999,,
QAT,Qatar,MENA,High Income,2023.0,6.2,6.0,6.5,7.2,5.2,,,,,,,,2.0,,
KOR,Republic of Korea,EAP,High Income,2020.0,0.9,0.4,1.9,0.8,0.9,1.0,0.0,,1.2,0.4,0.4,1.3,-0.09999999999999998,,-1.0
MDA,Republic of Moldova,EECA,Upper Middle Income,2012.0,6.4,5.2,7.8,5.8,7.0,3.6,7.8,11.4,5.6,9.1,3.4,2.7,-1.2000000000000002,8.7,4.199999999999999
