ISO,country,year,sdg_region,unicef_reporting_region,wat_bas_nat,wat_lim_nat,wat_none_nat,san_bas_nat,san_lim_nat,san_none_nat,hyg_bas_nat,hyg_lim_nat,hyg_none_nat
KNA,Saint Kitts and Nevis,2023,Latin America and the Caribbean,Latin America and Caribbean,99.5,0.5,0.5,99.5,0.5,0.5,99.5,0.5,0.5
LCA,Saint Lucia,2023,Latin America and the Caribbean,Latin America and Caribbean,99.5,0.5,0.5,99.5,0.5,0.5,98.91785857801426,1.082141421985739,0.5
VCT,Saint Vincent and the Grenadines,2023,Latin America and the Caribbean,Latin America and Caribbean,99.5,0.5,0.5,99.5,0.5,0.5,99.5,0.5,0.5
WSM,Samoa,2023,Oceania,East Asia and Pacific,99.5,0.5,0.5,99.5,0.5,0.5,78.00125863703943,21.99874136296057,0.5
SMR,San Marino,2023,Europe and Northern America,Europe and Central Asia,99.5,0.5,0.5,99.5,0.5,0.5,99.5,0.5,0.5
STP,Sao Tome and Principe,2023,Sub-Saharan Africa,Sub-Saharan Africa,,,14.71976895101511,75.81628425770307,7.994498205061944,16.18921753723498,,,
SAU,Saudi Arabia,2023,Northern Africa and Western Asia,Middle East and North Africa,99.5,0.5,0.5,99.5,0.5,0.5,99.5,0.5,0.5
SEN,Senegal,2023,Sub-Saharan Africa,Sub-Saharan Africa,72.78622816032889,20.3453944677271,6.868377371944007,77.97340631735642,7.135697030303618,14.89089665233996,21.91299305665932,29.58700694334068,48.5
SRB,Serbia,2023,Europe and Northern America,Europe and Central Asia,98.45,0.5,1.549999999999997,98.82828282828284,0.5,1.171717171717162,84.73909888902381,14.2109011109762,1.049999999999997
SYC,Seychelles,2023,Sub-Saharan Africa,Sub-Saharan Africa,99.5,0.5,0.5,99.5,0.5,0.5,99.5,0.5,0.5
SLE,Sierra Leone,2023,Sub-Saharan Africa,Sub-Saharan Africa,39.3851,10.44786968239574,50.16703031760426,48.65245283018885,39.63830618641441,11.70924098339674,22.0822299651568,30.48988656994196,47.42788346490124
SGP,Singapore,2023,Eastern and South-Eastern Asia,East Asia and Pacific,99.5,0.5,0.5,99.5,0.5,0.5,99.5,0.5,0.5
SVK,Slovakia,2023,Europe and Northern America,Europe and Central Asia,99.5,0.5,0.5,99.5,0.5,0.5,99.5,0.5,0.5
SVN,Slovenia,2023,Europe and Northern America,Europe and Central Asia,99.5,0.5,0.5,99.5,0.5,0.5,99.5,0.5,0.5
SLB,Solomon Islands,2023,Oceania,East Asia and Pacific,30.97272222537216,,,18.78039800237046,,,,,
SOM,Somalia,2023,Sub-Saharan Africa,Sub-Saharan Africa,52.84593890737873,41.672921502467,5.481139590154271,,,,,,
ZAF,South Africa,2023,Sub-Saharan Africa,Sub-Saharan Africa,,,,,,0.5,,,
SSD,South Sudan,2023,Sub-Saharan Africa,Sub-Saharan Africa,,,32.949495,36.65325,38.29976219819703,25.04698780180297,18.108585,,
ESP,Spain,2023,Europe and Northern America,Europe and Central Asia,99.5,0.5,0.5,99.5,0.5,0.5,99.5,0.5,0.5
